Date : 2023-04-28 10:42:18
Directory : c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request
Total : 333 files,  54268 codes, 23062 comments, 11432 blanks, all 88762 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        290 |     49,943 |     21,832 |     10,336 |     82,111 |
| C            |         36 |      4,245 |      1,230 |      1,077 |      6,552 |
| Markdown     |          1 |         57 |          0 |         14 |         71 |
| HTML         |          2 |         17 |          0 |          3 |         20 |
| Python       |          1 |          3 |          0 |          1 |          4 |
| Shell Script |          2 |          2 |          0 |          1 |          3 |
| Batch        |          1 |          1 |          0 |          0 |          1 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        333 |     54,268 |     23,062 |     11,432 |     88,762 |
| . (Files)                                                                                                              |          5 |         63 |          0 |         16 |         79 |
| Src                                                                                                                    |         34 |      3,999 |      1,182 |      1,033 |      6,214 |
| Src (Files)                                                                                                            |         11 |      2,135 |        695 |        576 |      3,406 |
| Src\conf                                                                                                               |          2 |         61 |         42 |         17 |        120 |
| Src\elr_mpl                                                                                                            |          2 |        470 |         62 |         85 |        617 |
| Src\mdb                                                                                                                |          5 |        355 |         98 |         87 |        540 |
| Src\model                                                                                                              |          2 |        112 |         43 |         31 |        186 |
| Src\utility                                                                                                            |          7 |        680 |        234 |        182 |      1,096 |
| Src\views                                                                                                              |          5 |        186 |          8 |         55 |        249 |
| bin                                                                                                                    |          2 |         17 |          0 |          3 |         20 |
| bin\templates                                                                                                          |          2 |         17 |          0 |          3 |         20 |
| include                                                                                                                |        292 |     50,189 |     21,880 |     10,380 |     82,449 |
| include (Files)                                                                                                        |          4 |        792 |        717 |        341 |      1,850 |
| include\dmfserver                                                                                                      |         23 |        862 |        587 |        390 |      1,839 |
| include\dmfserver\dmfserver                                                                                            |         23 |        862 |        587 |        390 |      1,839 |
| include\dmfserver\dmfserver (Files)                                                                                    |          9 |        431 |        171 |        201 |        803 |
| include\dmfserver\dmfserver\conf                                                                                       |          1 |         46 |         22 |         18 |         86 |
| include\dmfserver\dmfserver\elr_mpl                                                                                    |          2 |         67 |        185 |         35 |        287 |
| include\dmfserver\dmfserver\mdb                                                                                        |          2 |         55 |         34 |         27 |        116 |
| include\dmfserver\dmfserver\model                                                                                      |          2 |         48 |         35 |         29 |        112 |
| include\dmfserver\dmfserver\utility                                                                                    |          7 |        215 |        140 |         80 |        435 |
| include\elr_mpl                                                                                                        |          2 |         67 |        185 |         33 |        285 |
| include\jansson                                                                                                        |          2 |        346 |         57 |         92 |        495 |
| include\libxml                                                                                                         |         47 |      8,910 |      4,203 |      1,205 |     14,318 |
| include\mysql                                                                                                          |        101 |     15,313 |      9,988 |      3,136 |     28,437 |
| include\mysql (Files)                                                                                                  |         47 |      8,498 |      3,354 |      1,282 |     13,134 |
| include\mysql\mysql                                                                                                    |         54 |      6,815 |      6,634 |      1,854 |     15,303 |
| include\mysql\mysql (Files)                                                                                            |         39 |      2,251 |      3,441 |        866 |      6,558 |
| include\mysql\mysql\psi                                                                                                |         15 |      4,564 |      3,193 |        988 |      8,745 |
| include\openssl                                                                                                        |        105 |     22,306 |      5,210 |      4,704 |     32,220 |
| include\pcre                                                                                                           |          5 |        848 |        277 |        165 |      1,290 |
| include\pthread                                                                                                        |          3 |        745 |        656 |        314 |      1,715 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                               | language     | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\README.md                                               | Markdown     |         57 |          0 |         14 |         71 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\conf\conf.c                                         | C            |         57 |         25 |         16 |         98 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\conf\test.c                                         | C            |          4 |         17 |          1 |         22 |
| c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\cpool.c                                             | C            |         35 |        183 |         10 |        228 |
